Topic,Count,Name,Representation,Representative_Docs
383,29,383_meningioma_meningiomas_mirage_sheath,"['meningioma', 'meningiomas', 'mirage', 'sheath', 'tumors', 'androcur', 'tranexamic', 'brain', 'resections', 'astrocytomas']","['Meningioma Apatinib in the Treatment of Recurrent Atypical/malignant Meningioma in Adults; Conditions: Recurrent Atypical/malignant Meningioma Meningioma clinical research Meningioma Research', 'Clear Cell Meningioma Oncological Care for Patients With Meningioma; Conditions: Atypical Meningioma, Clear-cell Meningioma, Chordoid Meningioma, Anaplastic Meningioma, Rhabdoid Meningioma, Papillary Meningioma Clear Cell Meningioma clinical research Clear Cell Meningioma Research', 'Meningioma A Study of ONC201 for Refractory Meningioma; Conditions: Meningioma, Refractory Meningioma, Relapsed Meningioma Meningioma clinical research Meningioma Research']"
384,29,384_snakebite_envenomation_snake_bite,"['snakebite', 'envenomation', 'snake', 'bite', 'envenoming', 'coral', 'antivenom', 'bites', 'coagulopathy', 'antidote']","['Snakebite Envenomation Routine Antibiotic vs. Directed Antibiotic Treatment in Snake Bite; Conditions: Snake Bites Snakebite Envenomation clinical research Snakebite Envenomation Research', 'Snakebite Envenomation Retrospective Evaluation of CroFab - Efficacy in Severe Envenomation; Conditions: Snake Envenomation Snakebite Envenomation clinical research Snakebite Envenomation Research', 'Snakebite Envenomation Mapping Snakebite Risk in Ghana and Rwanda; Conditions: Snakebite, Snake Envenomation Snakebite Envenomation clinical research Snakebite Envenomation Research']"
385,29,385_achondroplasia_pneumococcal_lipoid_nephrosis,"['achondroplasia', 'pneumococcal', 'lipoid', 'nephrosis', 'recombinant', 'hypochondroplasia', 'achondrogenesis', 'hormone', 'nephrotic', 'children']","['Achondroplasia A Study to Evaluate the Efficacy and Safety of Recombinant Human Growth Hormone in Children With Achondroplasia; Conditions: Achondroplasia Achondroplasia clinical research Achondroplasia Research', 'Achondroplasia A Study to Evaluate the Efficacy and Safety of Recombinant Human Growth Hormone in Children With Achondroplasia; Conditions: Achondroplasia Achondroplasia clinical research Achondroplasia Research', 'Achondroplasia A Study to Evaluate the Efficacy and Safety of Recombinant Human Growth Hormone in Children With Achondroplasia; Conditions: Achondroplasia Achondroplasia clinical research Achondroplasia Research']"
386,29,386_influenza_avian_h5n1_pandemic,"['influenza', 'avian', 'h5n1', 'pandemic', 'bird', 'h7n9', 'flu', 'subtype', 'adjuvanted', 'vaccine']","['Avian Influenza Safety Study of an Oral Vaccine to Prevent Avian Influenza; Conditions: Avian Influenza, Bird Flu Avian Influenza clinical research Avian Influenza Research', 'Avian Influenza Safety Study of an Oral Vaccine to Prevent Avian Influenza; Conditions: Avian Influenza, Bird Flu Avian Influenza clinical research Avian Influenza Research', 'Avian Influenza A Phase 1 Study to Evaluate the Immunogenicity and Safety of a Pandemic Avian Influenza Vaccine in Adults; Conditions: Influenza Avian Influenza clinical research Avian Influenza Research']"
387,29,387_takayasu_arteritis_involvement_arsbta,"['takayasu', 'arteritis', 'involvement', 'arsbta', 'taric', 'vasculitis', 'ischemia', 'registration', 'vessel', 'giant']","[""Arteritis, Takayasu Exercise in Juvenile Takayasu Disease; Conditions: Takayasu's Arteritis Arteritis, Takayasu clinical research Arteritis, Takayasu Research"", ""Arteritis, Takayasu Clinical Study of Anti-tumor Necrosis Factor Therapy in Patients With Takayasu Arteritis; Conditions: Takayasu's Arteritis Arteritis, Takayasu clinical research Arteritis, Takayasu Research"", 'Arteritis, Takayasu Takayasu Arteritis Clinical Trial in China; Conditions: Takayasu Arteritis Arteritis, Takayasu clinical research Arteritis, Takayasu Research']"
388,29,388_pleomorphic_adenoma_prostate_psa,"['pleomorphic', 'adenoma', 'prostate', 'psa', 'psoriatic', 'psma', 'parotidectomy', 'findings', 'prostatic', 'parotid']","['Pleomorphic Adenoma Correlation Between PSA Levels and F-18 PSMA PET/CT Findings in Prostate Cancer Patient; Conditions: Prostatic Neoplasms Pleomorphic Adenoma clinical research Pleomorphic Adenoma Research', 'Pleomorphic Adenoma Correlation Between PSA Levels and F-18 PSMA PET/CT Findings in Prostate Cancer Patient; Conditions: Prostatic Neoplasms Pleomorphic Adenoma clinical research Pleomorphic Adenoma Research', 'Pleomorphic Adenoma Pilot Study of a Catheter-based Ultrasound Hyperthermia System; Conditions: Cervical Cancer, Prostate Cancer Pleomorphic Adenoma clinical research Pleomorphic Adenoma Research']"
389,29,389_behçet_behcet_ulceration_capillaroscopy,"['behçet', 'behcet', 'ulceration', 'capillaroscopy', 'fold', 'mucocutaneous', 'relation', 'thickness', 'canakinumab', 'coherence']","[""Behçet'S Syndrome Baricitinib in the Treatment of Intestinal Behçet's Syndrome; Conditions: Behcet Syndrome, Intestinal Type Behçet'S Syndrome clinical research Behçet'S Syndrome Research"", ""Behçet'S Syndrome Baricitinib in the Treatment of Intestinal Behçet's Syndrome; Conditions: Behcet Syndrome, Intestinal Type Behçet'S Syndrome clinical research Behçet'S Syndrome Research"", ""Behçet'S Syndrome Thrombophilia and Thrombosis in Behçet's Disease; Conditions: Behçet Disease Behçet'S Syndrome clinical research Behçet'S Syndrome Research""]"
390,29,390_areata_alopecia_totalis_sga,"['areata', 'alopecia', 'totalis', 'sga', 'universalis', 'aga', 'scalp', 'interlukin', 'tofacitinib', 'vitiligo']","['Alopecia Totalis Tofacitinib for the Treatment of Alopecia Areata and Its Variants; Conditions: Alopecia Areata, Alopecia Totalis, Alopecia Universalis Alopecia Totalis clinical research Alopecia Totalis Research', 'Alopecia Totalis Systemic Treatments for Alopecia Areata Registry; Conditions: Alopecia Areata, Alopecia Totalis, Alopecia Universalis, Hair Loss, Hair Diseases, Alopecia, Alopecia Drugs, Autoimmune Diseases Alopecia Totalis clinical research Alopecia Totalis Research', 'Alopecia Areata Topical Tofacitinib for the Treatment of Alopecia Areata and Its Variants; Conditions: Alopecia Areata, Alopecia Totalis, Alopecia Universalis Alopecia Areata clinical research Alopecia Areata Research']"
391,29,391_hurler_mps_mucopolysaccharidosis_vi,"['hurler', 'mps', 'mucopolysaccharidosis', 'vi', 'scheie', 'ih', 'structure', 'lysosomal', 'preschool', 'agt']","['Hurler Syndrome Longitudinal Studies of Brain Structure and Function in MPS Disorders; Conditions: Mucopolysaccharidosis Type I, Mucopolysaccharidosis Type II, Mucopolysaccharidosis Type VI, Mucopolysaccharidosis Type IV, Mucopolysaccharidosis Type VII Hurler Syndrome clinical research Hurler Syndrome Research', 'Hurler Syndrome Longitudinal Studies of Brain Structure and Function in MPS Disorders; Conditions: Mucopolysaccharidosis Type I, Mucopolysaccharidosis Type II, Mucopolysaccharidosis Type VI, Mucopolysaccharidosis Type IV, Mucopolysaccharidosis Type VII Hurler Syndrome clinical research Hurler Syndrome Research', 'Hurler Syndrome Clinical Trial of Growth Hormone in MPS I, II, and VI; Conditions: Mucopolysaccharidosis I, Mucopolysaccharidosis II, Mucopolysaccharidosis VI Hurler Syndrome clinical research Hurler Syndrome Research']"
392,29,392_onchocerciasis_filariasis_loiasis_moxidectin,"['onchocerciasis', 'filariasis', 'loiasis', 'moxidectin', 'ivermectin', 'lf', 'emodepside', 'albendazole', 'onchocercal', 'onchocerca']","['Onchocerciasis Safety and Efficacy of IDA for Onchocerciasis; Conditions: Onchocerciasis Onchocerciasis clinical research Onchocerciasis Research', 'Onchocerciasis Safety and Efficacy of IDA for Onchocerciasis; Conditions: Onchocerciasis Onchocerciasis clinical research Onchocerciasis Research', 'Onchocerciasis Ivermectin Treatment of Persons With Onchocerciasis-associated Epilepsy; Conditions: Epilepsy Onchocerciasis clinical research Onchocerciasis Research']"
393,29,393_chagas_syndecan_biomarker_cruzi,"['chagas', 'syndecan', 'biomarker', 'cruzi', 'galectin', 'trypanosoma', 'mutilation', 'e1224', 'lymphangiectasia', 'as']","['Chagas Disease Syndecan-4 as a Biomarker in Patients With Chagas Disease; Conditions: Chagas Disease Chagas Disease clinical research Chagas Disease Research', 'Chagas Disease Syndecan-4 as a Biomarker in Patients With Chagas Disease; Conditions: Chagas Disease Chagas Disease clinical research Chagas Disease Research', 'Chagas Disease Syndecan-4 as a Biomarker in Patients With Chagas Disease; Conditions: Chagas Disease Chagas Disease clinical research Chagas Disease Research']"
394,28,394_trenaunay_klippel_sturge_weber,"['trenaunay', 'klippel', 'sturge', 'weber', 'andersen', 'tawil', 'kabuki', 'sws', 'wine', 'port']","['Klippel-Trenaunay Syndrome Longitudinal Neuroimaging in Sturge-Weber Syndrome; Conditions: Sturge-Weber Syndrome Klippel-Trenaunay Syndrome clinical research Klippel-Trenaunay Syndrome Research', 'Klippel-Trenaunay Syndrome Longitudinal Neuroimaging in Sturge-Weber Syndrome; Conditions: Sturge-Weber Syndrome Klippel-Trenaunay Syndrome clinical research Klippel-Trenaunay Syndrome Research', 'Klippel-Trenaunay Syndrome Biomarker Development in Sturge-Weber Syndrome; Conditions: Sturge-Weber Syndrome Klippel-Trenaunay Syndrome clinical research Klippel-Trenaunay Syndrome Research']"
395,28,395_choriocarcinoma_nervous_extragonadal_system,"['choriocarcinoma', 'nervous', 'extragonadal', 'system', 'central', 'germ', 'teratoma', 'tumors', 'adult', 'brain']","['Adult Central Nervous System Choriocarcinoma Combination Chemotherapy and Radiation Therapy in Treating Patients With Germ Cell Tumors in the Brain; Conditions: Brain and Central Nervous System Tumors Adult Central Nervous System Choriocarcinoma clinical research Adult Central Nervous System Choriocarcinoma Research', 'Adult Central Nervous System Choriocarcinoma Combination Chemotherapy and Radiation Therapy in Treating Patients With Germ Cell Tumors in the Brain; Conditions: Brain and Central Nervous System Tumors Adult Central Nervous System Choriocarcinoma clinical research Adult Central Nervous System Choriocarcinoma Research', 'Adult Central Nervous System Choriocarcinoma Combination Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Relapsed Germ Cell Cancer; Conditions: Brain and Central Nervous System Tumors, Extragonadal Germ Cell Tumor, Ovarian Cancer, Teratoma, Testicular Germ Cell Tumor Adult Central Nervous System Choriocarcinoma clinical research Adult Central Nervous System Choriocarcinoma Research']"
396,28,396_bicuspid_thoracic_aneurysm_aorta,"['bicuspid', 'thoracic', 'aneurysm', 'aorta', 'aortic', 'coarctation', 'dietz', 'loeys', 'goldberg', 'aneurysms']","['Aorta Coarctation National Registry of Genetically Triggered Thoracic Aortic Aneurysms and Cardiovascular Conditions; Conditions: Marfan Syndrome, Turner Syndrome, Ehlers-Danlos Syndrome, Loeys-Dietz Syndrome, FBN1, TGFBR1, TGFBR2, ACTA2 or MYH11 Genetic Mutation, Bicuspid Aortic Valve Without Known Family History, Bicuspid Aortic Valve With Family History, Bicuspid Aortic Valve With Coarctation, Familial Thoracic Aortic Aneurysm and Dissections, Shprintzen-Goldberg Syndrome, Other Aneur/Diss of Thoracic Aorta Not Due to Trauma, <50yo, Other Congenital Heart Disease Aorta Coarctation clinical research Aorta Coarctation Research', 'Aorta Coarctation National Registry of Genetically Triggered Thoracic Aortic Aneurysms and Cardiovascular Conditions; Conditions: Marfan Syndrome, Turner Syndrome, Ehlers-Danlos Syndrome, Loeys-Dietz Syndrome, FBN1, TGFBR1, TGFBR2, ACTA2 or MYH11 Genetic Mutation, Bicuspid Aortic Valve Without Known Family History, Bicuspid Aortic Valve With Family History, Bicuspid Aortic Valve With Coarctation, Familial Thoracic Aortic Aneurysm and Dissections, Shprintzen-Goldberg Syndrome, Other Aneur/Diss of Thoracic Aorta Not Due to Trauma, <50yo, Other Congenital Heart Disease Aorta Coarctation clinical research Aorta Coarctation Research', 'Aorta Coarctation National Registry of Genetically Triggered Thoracic Aortic Aneurysms and Cardiovascular Conditions; Conditions: Marfan Syndrome, Turner Syndrome, Ehlers-Danlos Syndrome, Loeys-Dietz Syndrome, FBN1, TGFBR1, TGFBR2, ACTA2 or MYH11 Genetic Mutation, Bicuspid Aortic Valve Without Known Family History, Bicuspid Aortic Valve With Family History, Bicuspid Aortic Valve With Coarctation, Familial Thoracic Aortic Aneurysm and Dissections, Shprintzen-Goldberg Syndrome, Other Aneur/Diss of Thoracic Aorta Not Due to Trauma, <50yo, Other Congenital Heart Disease Aorta Coarctation clinical research Aorta Coarctation Research']"
397,28,397_hyperoxaluria_primary_oxalate_ph1,"['hyperoxaluria', 'primary', 'oxalate', 'ph1', 'oxabact', 'hp1', 'lenstec', 'lumasiran', 'softec', 'aphakia']","['Primary Hyperoxaluria Evaluation of the Efficacy and Safety of Stiripentol in Patients 6 Years and Older With Primary Hyperoxaluria Type 1, 2 or 3; Conditions: Primary Hyperoxaluria Type 1, Primary Hyperoxaluria Type 2, Primary Hyperoxaluria Type 3 Primary Hyperoxaluria clinical research Primary Hyperoxaluria Research', 'Primary Hyperoxaluria A Study to Evaluate the Efficacy and Safety of Oxabact in Patients With Primary Hyperoxaluria; Conditions: Primary Hyperoxaluria Primary Hyperoxaluria clinical research Primary Hyperoxaluria Research', 'Primary Hyperoxaluria Phenotyping of Primary Hyperoxaluria; Conditions: Primary Hyperoxaluria Primary Hyperoxaluria clinical research Primary Hyperoxaluria Research']"
398,28,398_mucormycosis_mycetoma_blastomycosis_itraconazole,"['mucormycosis', 'mycetoma', 'blastomycosis', 'itraconazole', 'amphotericin', 'mucorales', 'suba', 'eumycetoma', 'isavuconazole', 'mycoses']","['Mucormycosis Amphotericin Versus Posaconazole for Pulmonary Mucormycosis; Conditions: Mucormycosis; Pulmonary (Etiology) Mucormycosis clinical research Mucormycosis Research', 'Mucormycosis Antifungal Drugs in Pulmonary Mucormycosis; Conditions: Pulmonary Mucormycosis Mucormycosis clinical research Mucormycosis Research', 'Mucormycosis Biomarkers for Invasive Mucormycosis; Conditions: Mucorales Infection, Mucormycosis Mucormycosis clinical research Mucormycosis Research']"
399,28,399_trypanosomiasis_african_human_gambiense,"['trypanosomiasis', 'african', 'human', 'gambiense', 'sleeping', 'brucei', 'trypanosoma', 'fexinidazole', 'hat', 'eflornithine']","['Human African Trypanosomiasis Fexinidazole in Human African Trypanosomiasis Due to T.b. Gambiense at Any Stage; Conditions: Trypanosomiasis, African, Sleeping Sickness, Trypanosomiasis; Gambian Human African Trypanosomiasis clinical research Human African Trypanosomiasis Research', 'Human African Trypanosomiasis Fexinidazole in Human African Trypanosomiasis Due to T.b. Gambiense at Any Stage; Conditions: Trypanosomiasis, African, Sleeping Sickness, Trypanosomiasis; Gambian Human African Trypanosomiasis clinical research Human African Trypanosomiasis Research', 'Human African Trypanosomiasis Pivotal Study of Fexinidazole for Human African Trypanosomiasis in Stage 2; Conditions: Human African Trypanosomiasis (HAT), Sleeping Sickness Human African Trypanosomiasis clinical research Human African Trypanosomiasis Research']"
400,28,400_ciliary_dyskinesia_primary_pcd,"['ciliary', 'dyskinesia', 'primary', 'pcd', 'otolith', '40', 'nitric', 'oxide', 'bronchiectasis', 'physiotherapy']","['Primary Ciliary Dyskinesia MRI in Cystic Fibrosis and Primary Ciliary Dyskinesia; Conditions: Cystic Fibrosis, Primary Ciliary Dyskinesia Primary Ciliary Dyskinesia clinical research Primary Ciliary Dyskinesia Research', 'Primary Ciliary Dyskinesia COVID-19 in People With Primary Ciliary Dyskinesia; Conditions: Primary Ciliary Dyskinesia Primary Ciliary Dyskinesia clinical research Primary Ciliary Dyskinesia Research', 'Primary Ciliary Dyskinesia Genetic Study of Patients With Primary Ciliary Dyskinesia; Conditions: Primary Ciliary Dyskinesia Primary Ciliary Dyskinesia clinical research Primary Ciliary Dyskinesia Research']"
401,28,401_myocarditis_covid_19_viral,"['myocarditis', 'covid', '19', 'viral', 'myopericarditis', 'sars', 'vaccination', 'cov2', 'mrna', 'pandemic']","['Viral Myocarditis Myocardial Injury and Quality of Life After COVID-19; Conditions: COVID-19, Myocardial Injury, Myocarditis Post Infection Viral Myocarditis clinical research Viral Myocarditis Research', 'Myocarditis Myocarditis Post Vaccination or Multi System Inflammatory Syndrome; Conditions: Myocarditis Myocarditis clinical research Myocarditis Research', 'Myocarditis COVID-19 Vaccine-induced Inflammatory Heart Disease Prevalence Registry; Conditions: Myocarditis, Pericarditis Myocarditis clinical research Myocarditis Research']"
402,28,402_ovarian_endometrioid_clear_fallopian,"['ovarian', 'endometrioid', 'clear', 'fallopian', 'adenocarcinoma', 'tube', 'cystadenocarcinoma', 'carcinosarcoma', 'peritoneal', 'serous']","['Fallopian Tube Endometrioid Adenocarcinoma Acetyl-L-Carnitine Hydrochloride in Preventing Peripheral Neuropathy in Patients With Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer Undergoing Chemotherapy; Conditions: Fatigue, Malignant Ovarian Mixed Epithelial Tumor, Neuropathy, Neurotoxicity Syndrome, Ovarian Brenner Tumor, Ovarian Clear Cell Cystadenocarcinoma, Ovarian Endometrioid Adenocarcinoma, Ovarian Mucinous Cystadenocarcinoma, Ovarian Serous Cystadenocarcinoma, Pain, Recurrent Fallopian Tube Carcinoma, Recurrent Ovarian Carcinoma, Recurrent Primary Peritoneal Carcinoma Fallopian Tube Endometrioid Adenocarcinoma clinical research Fallopian Tube Endometrioid Adenocarcinoma Research', 'Fallopian Tube Endometrioid Adenocarcinoma A6 in Treating Patients With Persistent or Recurrent Ovarian Epithelial Cancer, Fallopian Tube Cancer, or Primary Peritoneal Cancer; Conditions: Fallopian Tube Carcinoma, Malignant Ovarian Mixed Epithelial Tumor, Ovarian Brenner Tumor, Ovarian Clear Cell Cystadenocarcinoma, Ovarian Endometrioid Adenocarcinoma, Ovarian Mucinous Cystadenocarcinoma, Ovarian Serous Cystadenocarcinoma, Primary Peritoneal Carcinoma, Recurrent Ovarian Carcinoma, Undifferentiated Ovarian Carcinoma Fallopian Tube Endometrioid Adenocarcinoma clinical research Fallopian Tube Endometrioid Adenocarcinoma Research', 'Fallopian Tube Endometrioid Adenocarcinoma Dual mTorc Inhibition in advanCed/Recurrent Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Cancer (of Clear Cell, Endometrioid and High Grade Serous Type, and Carcinosarcoma); Conditions: Ovarian Cancer, Ovarian Neoplasms, Ovarian Carcinosarcoma, Ovarian Serous Adenocarcinoma, Ovarian Endometrioid Adenocarcinoma, Ovarian Clear Cell Adenocarcinoma, Fallopian Tube Cancer, Fallopian Tube Neoplasms, Primary Peritoneal Carcinoma, Primary Peritoneal Serous Adenocarcinoma Fallopian Tube Endometrioid Adenocarcinoma clinical research Fallopian Tube Endometrioid Adenocarcinoma Research']"
403,28,403_hypogonadism_hypogonadotropic_anosmia_kallmann,"['hypogonadism', 'hypogonadotropic', 'anosmia', 'kallmann', 'atransferrinemia', 'without', 'panhypopituitarism', 'ihh', 'apotransferrin', 'stalk']","['Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Effect of Varying Testosterone Levels on Insulin Sensitivity in Men With Idiopathic Hypogonadotropic Hypogonadism (IHH); Conditions: Hypogonadotropic Hypogonadism, Kallmann Syndrome Hypogonadotropic Hypogonadism 7 With Or Without Anosmia clinical research Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Research', 'Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Examination of Idiopathic Hypogonadotropic Hypogonadism (IHH)and Kallmann Syndrome (KS); Conditions: Kallmann Syndrome, Hypogonadotropic Hypogonadism, GnRH Deficiency Hypogonadotropic Hypogonadism 7 With Or Without Anosmia clinical research Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Research', 'Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Health Needs of Patients With Kallmann Syndrome; Conditions: Kallmann Syndrome, Congenital Hypogonadotropic Hypogonadism, Idiopathic Hypogonadotropic Hypogonadism Hypogonadotropic Hypogonadism 7 With Or Without Anosmia clinical research Hypogonadotropic Hypogonadism 7 With Or Without Anosmia Research']"
404,28,404_parenteral_nutrition_cholestasis_omegaven,"['parenteral', 'nutrition', 'cholestasis', 'omegaven', 'associated', 'pnald', 'emulsion', 'compassionate', 'atresia', 'efad']","['Parenteral Nutrition-Associated Cholestasis Evaluation of Omegaven™ Parenteral Nutrition in Patients With Total Parenteral Nutrition (TPN)-Induced Cholestasis; Conditions: Parenteral Nutrition Associated Liver Disease PNALD, Cholestasis Parenteral Nutrition-Associated Cholestasis clinical research Parenteral Nutrition-Associated Cholestasis Research', 'Parenteral Nutrition-Associated Cholestasis Compassionate Use of Omegaven® for the Treatment of Intestinal Failure Associated Liver Disease in Children; Conditions: Total Parenteral Nutrition-Induced Cholestasis Parenteral Nutrition-Associated Cholestasis clinical research Parenteral Nutrition-Associated Cholestasis Research', 'Parenteral Nutrition-Associated Cholestasis Compassionate Use of Omegaven for Pediatric Patients With Parenteral Nutrition Associated Liver Disease; Conditions: Cholestasis, Short Bowel Syndrome Parenteral Nutrition-Associated Cholestasis clinical research Parenteral Nutrition-Associated Cholestasis Research']"
405,28,405_avascular_necrosis_osteochondritis_dissecans,"['avascular', 'necrosis', 'osteochondritis', 'dissecans', 'cartilage', 'knee', 'articular', 'osteochondral', 'pseudoachondroplasia', 'idiopathic']","['Idiopathic Avascular Necrosis Intra Articular Injections With Platelet Rich Plasma in Patients With Juvenile Osteochondritis Dissecans of the Knee; Conditions: Osteochondritis Dissecans Idiopathic Avascular Necrosis clinical research Idiopathic Avascular Necrosis Research', 'Idiopathic Avascular Necrosis Osteochondritis Dissecans of Knee Prospective Cohort; Conditions: Osteochondritis Dissecans Idiopathic Avascular Necrosis clinical research Idiopathic Avascular Necrosis Research', 'Idiopathic Avascular Necrosis Repair of Articular Osteochondral Defect; Conditions: Osteochondritis Dissecans Idiopathic Avascular Necrosis clinical research Idiopathic Avascular Necrosis Research']"
406,28,406_stargardt_macular_age_degeneration,"['stargardt', 'macular', 'age', 'degeneration', 'plantar', 'acupuncture', 'saffron', 'linked', 'dystrophy', 'fibromatosis']","[""Stargardt Disease Phase I/IIA Study of SAR422459 in Participants With Stargardt's Macular Degeneration; Conditions: Stargardt's Disease Stargardt Disease clinical research Stargardt Disease Research"", ""Stargardt Disease Phase I/IIA Study of SAR422459 in Participants With Stargardt's Macular Degeneration; Conditions: Stargardt's Disease Stargardt Disease clinical research Stargardt Disease Research"", 'Stargardt Disease A Natural History of the Progression of Stargardt Disease: Retrospective and Prospective Studies; Conditions: Stargardt Disease Stargardt Disease clinical research Stargardt Disease Research']"
407,28,407_intestine_rectum_small_rectal,"['intestine', 'rectum', 'small', 'rectal', 'colon', 'adenocarcinoma', 'colorectal', 'squamous', 'lung', 'solid']","['Small Intestine Adenocarcinoma Safety and Efficacy of Avelumab in Small Intestinal Adenocarcinoma; Conditions: Adenocarcinoma Small Intestine Adenocarcinoma clinical research Small Intestine Adenocarcinoma Research', 'Small Intestine Adenocarcinoma The Gut Microbiome and Immune Checkpoint Inhibitor Therapy in Solid Tumors; Conditions: Non-Small-Cell Lung Carcinoma, Malignant Melanoma, Renal Cell Carcinoma, Triple-Negative Breast Cancer Small Intestine Adenocarcinoma clinical research Small Intestine Adenocarcinoma Research', 'Small Intestine Adenocarcinoma The Gut Microbiome and Immune Checkpoint Inhibitor Therapy in Solid Tumors; Conditions: Non-Small-Cell Lung Carcinoma, Malignant Melanoma, Renal Cell Carcinoma, Triple-Negative Breast Cancer Small Intestine Adenocarcinoma clinical research Small Intestine Adenocarcinoma Research']"
408,28,408_colorectal_familial_troyer_simpson,"['colorectal', 'familial', 'troyer', 'simpson', 'golabi', 'behmel', 'promotion', 'lynch', 'tools', 'family']","['Familial Colorectal Cancer Identifying Patients With Hereditary and Familial Colorectal Cancer by Using an Online Risk Tool; Conditions: Colorectal Cancer, Lynch Syndrome, Familial Colorectal Cancer Familial Colorectal Cancer clinical research Familial Colorectal Cancer Research', 'Familial Colorectal Cancer Colorectal Cancer Screening Intervention for Family Members of Colorectal Cancer Patients; Conditions: Colorectal, Cancer, Screening, Intervention Familial Colorectal Cancer clinical research Familial Colorectal Cancer Research', 'Familial Colorectal Cancer Familial Colorectal Cancer Registry in Hispanics; Conditions: Colorectal Cancer, Gastric Cancer, Colorectal Neoplasms, Colorectal Adenoma, Lynch Syndrome Familial Colorectal Cancer clinical research Familial Colorectal Cancer Research']"
409,28,409_cavity_oral_squamous_oropharyngeal,"['cavity', 'oral', 'squamous', 'oropharyngeal', 'oscc', 'oropharynx', 'head', 'neck', 'lip', 'carcinoma']","['Oral Cavity Squamous Cell Carcinoma Phase I/II Study of Postoperative Adjuvant Chemoradiation for Advanced-Stage Cutaneous Squamous Cell Carcinoma of the Head and Neck (cSCCHN); Conditions: Recurrent Skin Cancer, Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity, Squamous Cell Carcinoma of the Skin, Stage III Squamous Cell Carcinoma of the Lip and Oral Cavity, Stage IVA Squamous Cell Carcinoma of the Lip and Oral Cavity, Stage IVB Squamous Cell Carcinoma of the Lip and Oral Cavity Oral Cavity Squamous Cell Carcinoma clinical research Oral Cavity Squamous Cell Carcinoma Research', 'Oral Cavity Squamous Cell Carcinoma Metformin in Head and Neck Squamous Cell Carcinoma: Effect on Tissue Oxygenation; Conditions: Head and Neck Cancer, Oral Cavity Squamous Cell Carcinoma Oral Cavity Squamous Cell Carcinoma clinical research Oral Cavity Squamous Cell Carcinoma Research', 'Oral Cavity Squamous Cell Carcinoma Metformin in Head and Neck Squamous Cell Carcinoma: Effect on Tissue Oxygenation; Conditions: Head and Neck Cancer, Oral Cavity Squamous Cell Carcinoma Oral Cavity Squamous Cell Carcinoma clinical research Oral Cavity Squamous Cell Carcinoma Research']"
410,28,410_agenesis_aplasia_body_uterine,"['agenesis', 'aplasia', 'body', 'uterine', 'mucolipidosis', 'callosum', 'penile', 'aicardi', 'megaprepuce', 'micropenis']","['Agenesis And Aplasia Of Uterine Body Infants With Agenesis of the Corpus Callosum; Conditions: Agenesis of the Corpus Callosum Agenesis And Aplasia Of Uterine Body clinical research Agenesis And Aplasia Of Uterine Body Research', 'Agenesis And Aplasia Of Uterine Body Corpus Callosum Agenesis and Intellectual Disability; Conditions: Intellectual Deficiency, Cerebral Abnormality Agenesis And Aplasia Of Uterine Body clinical research Agenesis And Aplasia Of Uterine Body Research', 'Agenesis And Aplasia Of Uterine Body A Study of the Genetic Analysis of Brain Disorders; Conditions: Holoprosencephaly Agenesis And Aplasia Of Uterine Body clinical research Agenesis And Aplasia Of Uterine Body Research']"
411,28,411_airway_vest_pep_expiratory,"['airway', 'vest', 'pep', 'expiratory', 'comparing', 'cystic', 'malformation', 'pressure', 'fibrosis', 'term']","['Congenital Pulmonary Airway Malformation Long-term Study, Comparing Vest Therapy to Positive Expiratory Pressure (PEP) Therapy in the Treatment of Cystic Fibrosis; Conditions: Cystic Fibrosis Congenital Pulmonary Airway Malformation clinical research Congenital Pulmonary Airway Malformation Research', 'Congenital Pulmonary Airway Malformation Long-term Study, Comparing Vest Therapy to Positive Expiratory Pressure (PEP) Therapy in the Treatment of Cystic Fibrosis; Conditions: Cystic Fibrosis Congenital Pulmonary Airway Malformation clinical research Congenital Pulmonary Airway Malformation Research', 'Congenital Pulmonary Airway Malformation Long-term Study, Comparing Vest Therapy to Positive Expiratory Pressure (PEP) Therapy in the Treatment of Cystic Fibrosis; Conditions: Cystic Fibrosis Congenital Pulmonary Airway Malformation clinical research Congenital Pulmonary Airway Malformation Research']"
